,Ticker,W%R_range,Long Trigger,Short Trigger,HODL_return,Trade Return,delta
3812,ARE,20,-65,-55,0.38615847542627857,0.119607,-0.26655147542627855
3813,ARE,20,-65,-60,0.38615847542627857,0.224464,-0.16169447542627857
3814,ARE,20,-65,-65,0.38615847542627857,0.25411,-0.13204847542627857
3815,ARE,20,-65,-70,0.38615847542627857,0.203077,-0.18308147542627856
3816,ARE,20,-60,-35,0.38615847542627857,0.218234,-0.16792447542627856
3817,ARE,20,-60,-40,0.38615847542627857,0.300796,-0.08536247542627856
3818,ARE,20,-60,-45,0.38615847542627857,0.505647,0.11948852457372139
3819,ARE,20,-60,-50,0.38615847542627857,0.269698,-0.11646047542627858
3820,ARE,20,-60,-55,0.38615847542627857,0.001876,-0.3842824754262786
3821,ARE,20,-60,-60,0.38615847542627857,0.1487,-0.23745847542627857
3822,ARE,20,-60,-65,0.38615847542627857,0.169056,-0.21710247542627856
3823,ARE,20,-60,-70,0.38615847542627857,0.107356,-0.27880247542627856
3824,ARE,20,-55,-35,0.38615847542627857,0.278211,-0.10794747542627858
3825,ARE,20,-55,-40,0.38615847542627857,0.433027,0.046868524573721426
3826,ARE,20,-55,-45,0.38615847542627857,0.551467,0.16530852457372147
3827,ARE,20,-55,-50,0.38615847542627857,0.278156,-0.10800247542627855
3828,ARE,20,-55,-55,0.38615847542627857,-0.023841,-0.40999947542627857
3829,ARE,20,-55,-60,0.38615847542627857,-0.011902,-0.3980604754262786
3830,ARE,20,-55,-65,0.38615847542627857,0.017839,-0.3683194754262786
3831,ARE,20,-55,-70,0.38615847542627857,-0.057285,-0.4434434754262786
3832,ARE,20,-50,-35,0.38615847542627857,0.124014,-0.26214447542627856
3833,ARE,20,-50,-40,0.38615847542627857,0.20532,-0.18083847542627857
3834,ARE,20,-50,-45,0.38615847542627857,0.292924,-0.09323447542627855
3835,ARE,20,-50,-50,0.38615847542627857,-0.04946,-0.4356184754262786
3836,ARE,20,-50,-55,0.38615847542627857,-0.044705,-0.43086347542627856
3837,ARE,20,-50,-60,0.38615847542627857,-0.081688,-0.46784647542627855
3838,ARE,20,-50,-65,0.38615847542627857,-0.033043,-0.41920147542627856
3839,ARE,20,-50,-70,0.38615847542627857,-0.088979,-0.4751374754262786
3840,ARE,30,-85,-35,0.49629382859998333,0.413333,-0.08296082859998333
3841,ARE,30,-85,-40,0.49629382859998333,0.430725,-0.06556882859998331
3842,ARE,30,-85,-45,0.49629382859998333,0.360049,-0.13624482859998333
3843,ARE,30,-85,-50,0.49629382859998333,0.378746,-0.1175478285999833
3844,ARE,30,-85,-55,0.49629382859998333,0.247465,-0.24882882859998334
3845,ARE,30,-85,-60,0.49629382859998333,0.021311,-0.4749828285999833
3846,ARE,30,-85,-65,0.49629382859998333,0.341788,-0.15450582859998335
